Date,Open,High,Low,Close,Adj Close,Volume
8/15/2018,22.93,23.27,22.889999,23.15,22.792835,77100
8/16/2018,23.23,23.67,23.23,23.5,23.137438,84300
8/17/2018,23.450001,23.639999,23.309999,23.4,23.038979,58900
8/20/2018,23.379999,23.610001,22.99,23.549999,23.186665,79600
8/21/2018,23.790001,24.07,23.67,23.969999,23.600183,77700
8/22/2018,23.9,24.09,23.35,23.379999,23.019285,120100
8/23/2018,23.35,23.379999,23.110001,23.24,22.881449,97800
8/24/2018,23.26,23.360001,23.17,23.219999,22.861757,83900
8/27/2018,23.190001,23.790001,23.1,23.66,23.294968,141200
8/28/2018,23.66,23.68,23.25,23.389999,23.029131,50000
8/29/2018,23.32,23.5,23.1,23.17,22.812529,42000
8/30/2018,23.18,23.18,22.889999,22.940001,22.586077,113500
8/31/2018,22.879999,23.07,22.65,22.77,22.418699,77600
9/4/2018,22.709999,22.799999,22.370001,22.42,22.0741,61600
9/5/2018,22.35,22.48,22.25,22.379999,22.034714,95500
9/6/2018,22.459999,22.459999,22.27,22.4,22.054405,87100
9/7/2018,22.370001,22.77,22.23,22.65,22.30055,103700
9/10/2018,22.75,22.799999,22.190001,22.370001,22.02487,89800
9/11/2018,22.309999,22.629999,22.200001,22.58,22.231628,108000
9/12/2018,22.530001,22.68,22.15,22.4,22.054405,102100
9/13/2018,22.43,22.67,22.25,22.290001,21.946106,63200
9/14/2018,22.290001,22.559999,22.23,22.43,22.083946,59600
9/17/2018,22.43,22.57,22.15,22.16,21.81811,54500
9/18/2018,22.15,22.42,22,22.1,21.759035,142500
9/19/2018,22.049999,22.139999,21.950001,22.049999,21.709806,147600
9/20/2018,22.139999,22.49,22.129999,22.450001,22.103638,70800
9/21/2018,22.469999,22.549999,22.370001,22.379999,22.034714,335600
9/24/2018,22.33,22.559999,21.889999,21.91,21.571966,104900
9/25/2018,21.91,22.08,21.809999,21.85,21.512894,107200
9/26/2018,21.889999,22.129999,21.67,21.790001,21.453817,170700
9/27/2018,21.700001,21.82,21.52,21.530001,21.19783,82200
9/28/2018,21.52,21.700001,21.49,21.549999,21.21752,98900
10/1/2018,21.530001,21.889999,21.5,21.709999,21.375051,91200
